                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.98,                 3.1698,                 3.7369,                0.01212,                0.40207,                 0.0091,                0.00279,                 3.0621,                 3.8426,                 4.2215,             0.00066162,             0.00066162,             0.00066162
                      2,                 2.1855,                 2.5268,                 2.7361,                0.35834,                0.39689,                0.30203,                0.13214,                 1.8213,                 3.6525,                 2.4274,              0.0013163,              0.0013163,              0.0013163
                      3,                 1.8446,                 2.1532,                 2.3188,                0.44603,                0.45104,                0.39239,                0.19478,                 1.7132,                 2.1775,                 2.2558,               0.001959,               0.001959,               0.001959
                      4,                 1.6753,                 1.9513,                 2.1286,                 0.4919,                0.47926,                0.46098,                0.25163,                 1.5304,                 1.9129,                 2.0489,               0.001946,               0.001946,               0.001946
                      5,                 1.5778,                 1.8193,                 2.0387,                0.54815,                 0.4856,                0.51692,                0.28762,                 1.4563,                 1.7517,                 1.9211,               0.001928,               0.001928,               0.001928
                      6,                 1.4681,                 1.6584,                 1.9266,                0.52946,                0.58065,                0.52462,                0.30962,                 1.4349,                 1.7697,                 1.9258,                0.00191,                0.00191,                0.00191
                      7,                 1.4121,                 1.5978,                 1.8723,                0.54289,                0.61118,                0.56078,                0.34277,                 1.3069,                 1.6202,                 1.7767,               0.001892,               0.001892,               0.001892
                      8,                 1.3781,                 1.5568,                 1.8221,                0.54272,                 0.6317,                0.58935,                0.37631,                 1.2391,                 1.4409,                 1.7089,               0.001874,               0.001874,               0.001874
                      9,                 1.3238,                 1.4772,                 1.7818,                0.62197,                0.62039,                0.65418,                 0.4332,                 1.1383,                  1.333,                 1.6422,               0.001856,               0.001856,               0.001856
                     10,                 1.2838,                 1.4516,                 1.7449,                0.63334,                0.63479,                 0.6653,                0.43914,                 1.1292,                 1.2805,                 1.6057,               0.001838,               0.001838,               0.001838
                     11,                 1.2437,                 1.3924,                 1.7046,                0.58786,                0.62327,                0.60849,                0.41534,                 1.1106,                  1.398,                 1.5978,                0.00182,                0.00182,                0.00182
                     12,                 1.2063,                 1.3699,                 1.6757,                0.62121,                 0.6745,                0.68272,                 0.4743,                 1.0199,                  1.217,                 1.5239,               0.001802,               0.001802,               0.001802
                     13,                 1.1812,                 1.3218,                 1.6444,                0.60817,                0.66993,                0.64759,                0.45185,                 1.0071,                 1.4395,                 1.4958,               0.001784,               0.001784,               0.001784
                     14,                 1.1535,                 1.2771,                 1.6261,                0.63834,                0.67108,                0.68928,                0.47239,                 1.0875,                  1.194,                 1.5623,               0.001766,               0.001766,               0.001766
                     15,                 1.1584,                 1.2872,                 1.6231,                0.64278,                0.65553,                0.66748,                0.46891,                 1.0017,                 1.3438,                 1.4885,               0.001748,               0.001748,               0.001748
                     16,                 1.1459,                 1.2745,                 1.6122,                0.66991,                0.66129,                0.69976,                0.50462,                0.93739,                 1.1624,                 1.4341,                0.00173,                0.00173,                0.00173
                     17,                 1.1201,                 1.2468,                 1.5836,                0.64252,                0.67193,                0.68833,                0.49554,                 0.9559,                  1.242,                 1.4345,               0.001712,               0.001712,               0.001712
                     18,                 1.1134,                 1.2458,                 1.5831,                 0.6686,                 0.6822,                0.72991,                0.52441,                0.95421,                 1.1031,                 1.4587,               0.001694,               0.001694,               0.001694
                     19,                 1.1006,                 1.2222,                 1.5677,                0.66907,                 0.6778,                 0.7075,                0.50017,                 0.9765,                 1.1412,                 1.4559,               0.001676,               0.001676,               0.001676
                     20,                 1.0932,                 1.2211,                 1.5638,                0.67909,                0.67569,                0.73056,                0.52634,                 0.9512,                 1.0774,                  1.443,               0.001658,               0.001658,               0.001658
                     21,                 1.0767,                 1.2061,                 1.5523,                  0.655,                0.70737,                0.72638,                0.53165,                0.92645,                 1.1159,                 1.4136,                0.00164,                0.00164,                0.00164
                     22,                 1.0688,                 1.1749,                 1.5391,                0.65551,                0.67224,                0.69735,                0.49579,                0.94401,                 1.1242,                 1.4534,               0.001622,               0.001622,               0.001622
                     23,                 1.0629,                 1.1819,                 1.5303,                0.68949,                0.66417,                0.71672,                0.52666,                0.91862,                 1.1188,                 1.4061,               0.001604,               0.001604,               0.001604
                     24,                 1.0347,                 1.1488,                 1.5161,                0.67957,                0.62327,                0.69925,                0.49096,                0.99433,                 1.1499,                 1.4499,               0.001586,               0.001586,               0.001586
                     25,                 1.0368,                 1.1555,                 1.5129,                0.67565,                0.69528,                 0.7318,                0.53463,                0.91527,                 1.1407,                 1.3854,               0.001568,               0.001568,               0.001568
                     26,                 1.0113,                 1.1274,                 1.4865,                0.68002,                0.68606,                0.74339,                0.54509,                0.87862,                 1.0265,                 1.3676,                0.00155,                0.00155,                0.00155
                     27,                 1.0117,                 1.1356,                 1.4901,                0.65873,                0.70219,                0.73878,                0.54909,                0.88115,                  1.043,                 1.3642,               0.001532,               0.001532,               0.001532
                     28,                 1.0047,                 1.1007,                 1.4811,                0.68799,                0.69097,                0.75212,                0.56208,                0.88187,                 1.0262,                 1.3628,               0.001514,               0.001514,               0.001514
                     29,                0.99932,                 1.1049,                 1.4787,                0.68589,                0.69931,                0.75417,                0.55756,                0.87125,                 1.0379,                 1.3624,               0.001496,               0.001496,               0.001496
                     30,                0.99704,                 1.1032,                 1.4658,                0.69779,                0.67339,                0.74271,                0.55363,                0.87528,                 1.0211,                 1.3484,               0.001478,               0.001478,               0.001478
                     31,                 0.9921,                 1.0899,                 1.4662,                0.68135,                0.63825,                0.72772,                0.52611,                 0.9312,                 1.0609,                 1.3989,                0.00146,                0.00146,                0.00146
                     32,                0.96827,                 1.0785,                 1.4539,                  0.692,                0.68894,                0.75657,                0.56383,                0.86829,                0.98771,                 1.3586,               0.001442,               0.001442,               0.001442
                     33,                0.97815,                 1.0817,                 1.4546,                0.66133,                0.70979,                0.73652,                0.55506,                0.84166,                 1.0411,                 1.3438,               0.001424,               0.001424,               0.001424
                     34,                0.97055,                 1.0693,                 1.4434,                0.69709,                 0.6659,                0.74287,                0.55194,                0.87434,                 1.0268,                  1.347,               0.001406,               0.001406,               0.001406
                     35,                0.94791,                  1.049,                 1.4286,                  0.674,                0.72811,                0.75708,                0.57336,                0.84001,                0.96309,                 1.3333,               0.001388,               0.001388,               0.001388
                     36,                0.95105,                 1.0506,                 1.4284,                 0.6765,                0.70853,                0.75407,                0.57262,                0.84523,                 1.0101,                 1.3268,                0.00137,                0.00137,                0.00137
                     37,                0.95891,                 1.0608,                 1.4375,                0.67707,                0.70219,                0.75494,                0.56816,                0.84627,                 0.9682,                 1.3382,               0.001352,               0.001352,               0.001352
                     38,                0.94323,                 1.0504,                 1.4247,                0.70376,                0.67972,                0.76243,                 0.5848,                0.82486,                 0.9553,                 1.3316,               0.001334,               0.001334,               0.001334
                     39,                0.95157,                 1.0548,                 1.4279,                0.70249,                0.68144,                0.76095,                0.57752,                  0.814,                 0.9725,                 1.3164,               0.001316,               0.001316,               0.001316
                     40,                0.94157,                 1.0301,                 1.4214,                 0.6897,                0.69268,                0.75107,                0.56314,                   0.84,                0.98322,                 1.3252,               0.001298,               0.001298,               0.001298
                     41,                0.94416,                 1.0364,                 1.4223,                0.68289,                 0.7212,                0.76298,                0.58316,                0.82189,                0.94394,                 1.3217,                0.00128,                0.00128,                0.00128
                     42,                0.92026,                 1.0268,                 1.4048,                0.65935,                0.71947,                0.74639,                0.56528,                 0.8287,                0.98293,                 1.3122,               0.001262,               0.001262,               0.001262
                     43,                0.92152,                 1.0178,                 1.4047,                0.71467,                0.69528,                0.76993,                 0.5899,                0.81408,                0.97589,                 1.3101,               0.001244,               0.001244,               0.001244
                     44,                0.91518,                 1.0062,                 1.3949,                0.69833,                0.69072,                0.75652,                0.57711,                0.82854,                0.95052,                 1.3154,               0.001226,               0.001226,               0.001226
                     45,                0.91251,                0.99448,                 1.3906,                0.67313,                0.71531,                0.75538,                0.57483,                0.83215,                0.94378,                 1.3163,               0.001208,               0.001208,               0.001208
                     46,                0.92479,                  1.004,                 1.3974,                0.70633,                0.71486,                0.78015,                0.59229,                0.82558,                0.92025,                 1.3181,                0.00119,                0.00119,                0.00119
                     47,                0.90355,                0.99557,                 1.3818,                0.63938,                0.74539,                0.73624,                0.55899,                0.81815,                 1.1148,                 1.3075,               0.001172,               0.001172,               0.001172
                     48,                0.89877,                0.99432,                 1.3735,                0.70621,                0.69511,                0.76985,                 0.5858,                0.83298,                 0.9347,                 1.3118,               0.001154,               0.001154,               0.001154
                     49,                0.89619,                 0.9745,                  1.379,                0.70975,                0.69758,                0.76323,                0.58108,                0.81362,                0.95806,                 1.2903,               0.001136,               0.001136,               0.001136
                     50,                 0.8922,                0.97309,                 1.3708,                0.68857,                0.71544,                0.76941,                0.59341,                0.80659,                0.93646,                 1.2981,               0.001118,               0.001118,               0.001118
                     51,                0.88737,                0.97685,                 1.3683,                0.67706,                0.71615,                0.75941,                0.58013,                0.81757,                0.93475,                 1.2921,                 0.0011,                 0.0011,                 0.0011
                     52,                0.88095,                 0.9795,                 1.3622,                 0.6985,                0.70161,                0.75979,                0.58199,                0.80607,                0.96446,                 1.2825,               0.001082,               0.001082,               0.001082
                     53,                0.89127,                0.96882,                 1.3719,                0.70172,                0.71659,                0.77539,                0.59459,                0.80977,                0.92305,                 1.2924,               0.001064,               0.001064,               0.001064
                     54,                0.88263,                0.95411,                   1.36,                0.71312,                0.69017,                 0.7683,                0.58604,                0.81729,                0.93399,                 1.2922,               0.001046,               0.001046,               0.001046
                     55,                 0.8838,                0.96211,                 1.3683,                0.70917,                0.69249,                 0.7707,                0.59113,                0.80602,                0.94527,                 1.2855,               0.001028,               0.001028,               0.001028
                     56,                0.87071,                0.94475,                 1.3547,                0.69245,                 0.7237,                0.76593,                0.58899,                0.79727,                0.95086,                 1.2788,                0.00101,                0.00101,                0.00101
                     57,                0.87116,                0.94964,                 1.3506,                 0.6959,                0.70522,                0.76718,                0.58588,                0.79934,                 0.9264,                 1.2851,               0.000992,               0.000992,               0.000992
                     58,                0.87041,                0.94743,                 1.3486,                0.70886,                0.71889,                0.77248,                0.59319,                0.78934,                0.91357,                 1.2686,               0.000974,               0.000974,               0.000974
