                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2689,                 2.9457,                 3.7373,                0.02587,                0.06624,                0.01653,                0.00618,                    nan,                    nan,                    nan,             0.00066158,             0.00066158,             0.00066158
                      2,                 2.3243,                 2.2604,                 2.6874,                0.27696,                0.33871,                0.21733,                0.08698,                    nan,                    nan,                    nan,              0.0013151,              0.0013151,              0.0013151
                      3,                 1.9779,                 1.9691,                 2.3129,                0.37764,                0.43548,                0.34449,                0.17305,                    nan,                    nan,                    nan,              0.0019554,              0.0019554,              0.0019554
                      4,                 1.8042,                 1.8071,                 2.1135,                 0.4827,                0.50691,                0.45741,                0.24943,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6821,                 1.7125,                 1.9838,                0.51725,                0.48328,                0.46303,                0.26718,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.601,                 1.6258,                 1.9044,                  0.522,                 0.5674,                0.51977,                0.31202,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      7,                  1.529,                 1.5542,                 1.8436,                0.56318,                0.57334,                0.57275,                0.34907,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4729,                 1.4917,                 1.7916,                0.51327,                0.54608,                0.53856,                0.31833,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.432,                 1.4464,                 1.7399,                0.58252,                0.57776,                0.59184,                0.38013,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3999,                 1.4089,                 1.7228,                 0.5861,                0.59873,                0.60454,                0.37134,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3597,                 1.3695,                 1.6807,                0.58386,                0.57787,                 0.5859,                0.38031,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                 1.3285,                 1.3414,                 1.6596,                0.64646,                0.60143,                0.64827,                0.41538,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3191,                 1.3303,                 1.6547,                0.62597,                 0.6106,                 0.6272,                 0.4203,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2801,                 1.2909,                 1.6269,                0.63505,                0.62385,                0.65257,                0.44129,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2776,                 1.2779,                 1.6173,                 0.6607,                0.62367,                0.66376,                0.44844,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2509,                 1.2571,                 1.5907,                0.65369,                0.63479,                0.65915,                0.45465,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     17,                 1.2385,                 1.2451,                  1.581,                0.64244,                0.61694,                0.67294,                0.44294,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2271,                 1.2341,                   1.57,                0.63984,                0.61812,                0.65698,                0.45572,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2162,                 1.2277,                 1.5636,                0.64634,                0.64848,                0.67123,                 0.4649,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1947,                 1.2035,                 1.5407,                0.62188,                0.65265,                0.66982,                 0.4673,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1822,                 1.1967,                 1.5368,                0.62371,                0.66014,                0.66985,                0.46477,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     22,                 1.1669,                 1.1804,                  1.516,                0.67285,                0.63134,                0.68411,                0.47938,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1694,                 1.1624,                 1.5097,                0.66454,                0.62191,                 0.6822,                0.47257,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1549,                 1.1493,                 1.5121,                0.64278,                0.66993,                0.69062,                0.49072,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1412,                 1.1523,                 1.4969,                0.66455,                0.65035,                0.68547,                  0.486,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1303,                 1.1334,                 1.4833,                0.65197,                0.67915,                 0.7027,                0.50196,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                 1.1351,                 1.1418,                 1.4947,                0.67526,                0.64286,                 0.7004,                0.49538,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1093,                 1.1133,                 1.4709,                0.66196,                0.66993,                0.70053,                0.49555,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1032,                 1.1071,                 1.4681,                0.67549,                0.65265,                0.70393,                 0.5034,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1038,                 1.1088,                 1.4632,                0.69733,                0.64171,                 0.7119,                0.51265,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0959,                  1.103,                 1.4558,                0.66416,                0.69261,                0.71811,                0.52361,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     32,                 1.0846,                 1.0814,                 1.4482,                0.67215,                0.67281,                0.71406,                0.52187,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0838,                 1.0829,                 1.4473,                0.66198,                0.68318,                0.71732,                0.51954,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0772,                  1.079,                 1.4371,                0.65615,                0.69067,                0.71772,                0.51281,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0649,                 1.0641,                 1.4301,                0.69594,                0.65264,                0.71358,                0.51607,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0574,                 1.0587,                  1.422,                0.64214,                0.67051,                0.69498,                0.50027,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     37,                 1.0647,                 1.0657,                 1.4264,                0.67518,                0.66705,                0.71364,                0.51727,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0452,                 1.0447,                 1.4159,                0.67668,                0.66188,                0.70953,                0.51135,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0526,                 1.0553,                 1.4174,                0.69459,                0.65783,                0.72253,                0.53265,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0361,                 1.0393,                 1.4007,                0.69724,                0.65438,                0.72049,                0.52013,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0332,                 1.0452,                 1.4032,                0.68614,                0.65899,                0.70561,                0.51806,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     42,                 1.0407,                 1.0278,                 1.4021,                0.69346,                0.66475,                0.71409,                0.52532,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0354,                 1.0315,                 1.4022,                0.69248,                0.67063,                0.71565,                0.52721,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0243,                 1.0274,                 1.3964,                0.67658,                0.64348,                0.70513,                0.51953,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0214,                 1.0294,                 1.3987,                 0.6883,                  0.678,                 0.7248,                0.53064,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0213,                 1.0213,                 1.3873,                0.68635,                 0.6682,                0.71763,                0.53435,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     47,                 1.0083,                 1.0108,                 1.3877,                0.69884,                0.67224,                0.71754,                0.52389,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0225,                 1.0155,                 1.3853,                0.66193,                 0.6924,                0.72769,                0.54102,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0019,                 1.0034,                 1.3777,                0.66324,                0.69182,                0.72644,                0.54322,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0001,                 1.0029,                 1.3734,                0.68272,                0.66684,                0.72275,                0.53984,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9963,                0.99251,                 1.3715,                0.66535,                0.68372,                0.71965,                0.52813,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
